1,Bulbasaur,grass,poison,0.7,6.9
2,Ivysaur,grass,poison,1,13
3,Venusaur,grass,poison,2,100
4,Charmander,fire,,0.6,8.5
5,Charmeleon,fire,,1.1,19
6,Charizard,fire,flying,1.7,90.5
7,Squirtle,water,,0.5,9
8,Wartortle,water,,1,22.5
9,Blastoise,water,,1.6,85.5
10,Caterpie,bug,,0.3,2.9
11,Metapod,bug,,0.7,9.9
12,Butterfree,bug,flying,1.1,32
13,Weedle,bug,poison,0.3,3.2
14,Kakuna,bug,poison,0.6,10
15,Beedrill,bug,poison,1,29.5
16,Pidgey,normal,flying,0.3,1.8
17,Pidgeotto,normal,flying,1.1,30
18,Pidgeot,normal,flying,1.5,39.5
19,Rattata,normal,,0.3,3.5
20,Raticate,normal,,0.7,18.5
21,Spearow,normal,flying,0.3,2
22,Fearow,normal,flying,1.2,38
23,Ekans,poison,,2,6.9
24,Arbok,poison,,3.5,65
25,Pikachu,electric,,0.4,6
26,Raichu,electric,,0.8,30
27,Sandshrew,ground,,0.6,12
28,Sandslash,ground,,1,29.5
29,Nidoran,poison,,0.4,7
30,Nidorina,poison,,0.8,20
31,Nidoqueen,poison,ground,1.3,60
32,Nidoran,poison,,0.5,9
33,Nidorino,poison,,0.9,19.5
34,Nidoking,poison,ground,1.4,62
35,Clefairy,normal,,0.6,7.5
36,Clefable,normal,,1.3,40
37,Vulpix,fire,,0.6,9.9
38,Ninetales,fire,,1.1,19.9
39,Jigglypuff,normal,,0.5,5.5
40,Wigglytuff,normal,,1,12
41,Zubat,poison,flying,0.8,7.5
42,Golbat,poison,flying,1.6,55
43,Oddish,grass,poison,0.5,5.4
44,Gloom,grass,poison,0.8,8.6
45,Vileplume,grass,poison,1.2,18.6
46,Paras,bug,grass,0.3,5.4
47,Parasect,bug,grass,1,29.5
48,Venonat,bug,poison,1,30
49,Venomoth,bug,poison,1.5,12.5
50,Diglett,ground,,0.2,0.8
51,Dugtrio,ground,,0.7,33.3
52,Meowth,normal,,0.4,4.2
53,Persian,normal,,1,32
54,Psyduck,water,,0.8,19.6
55,Golduck,water,,1.7,76.6
56,Mankey,fighting,,0.5,28
57,Primeape,fighting,,1,32
58,Growlithe,fire,,0.7,19
59,Arcanine,fire,,1.9,155
60,Poliwag,water,,0.6,12.4
61,Poliwhirl,water,,1,20
62,Poliwrath,water,fighting,1.3,54
63,Abra,psychic,,0.9,19.5
64,Kadabra,psychic,,1.3,56.5
65,Alakazam,psychic,,1.5,48
66,Machop,fighting,,0.8,19.5
67,Machoke,fighting,,1.5,70.5
68,Machamp,fighting,,1.6,130
69,Bellsprout,grass,poison,0.7,4
70,Weepinbell,grass,poison,1,6.4
71,Victreebel,grass,poison,1.7,15.5
72,Tentacool,water,poison,0.9,45.5
73,Tentacruel,water,poison,1.6,55
74,Geodude,rock,ground,0.4,20
75,Graveler,rock,ground,1,105
76,Golem,rock,ground,1.4,300
77,Ponyta,fire,,1,30
78,Rapidash,fire,,1.7,95
79,Slowpoke,water,psychic,1.2,36
80,Slowbro,water,psychic,1.6,78.5
81,Magnemite,electric,,0.3,6
82,Magneton,electric,,1,60
83,Farfetchd,normal,flying,0.8,15
84,Doduo,normal,flying,1.4,39.2
85,Dodrio,normal,flying,1.8,85.2
86,Seel,water,,1.1,90
87,Dewgong,water,ice,1.7,120
88,Grimer,poison,,0.9,30
89,Muk,poison,,1.2,30
90,Shellder,water,,0.3,4
91,Cloyster,water,ice,1.5,132.5
92,Gastly,ghost,poison,1.3,0.1
93,Haunter,ghost,poison,1.6,0.1
94,Gengar,ghost,poison,1.5,40.5
95,Onix,rock,ground,8.8,210
96,Drowzee,psychic,,1,32.4
97,Hypno,psychic,,1.6,75.6
98,Krabby,water,,0.4,6.5
99,Kingler,water,,1.3,60
100,Voltorb,electric,,0.5,10.4
101,Electrode,electric,,1.2,66.6
102,Exeggcute,grass,psychic,0.4,2.5
103,Exeggutor,grass,psychic,2,120
104,Cubone,ground,,0.4,6.5
105,Marowak,ground,,1,45
106,Hitmonlee,fighting,,1.5,49.8
107,Hitmonchan,fighting,,1.4,50.2
108,Lickitung,normal,,1.2,65.5
109,Koffing,poison,,0.6,1
110,Weezing,poison,,1.2,9.5
111,Rhyhorn,ground,rock,1,115
112,Rhydon,ground,rock,1.9,120
113,Chansey,normal,,1.1,34.6
114,Tangela,grass,,1,35
115,Kangaskhan,normal,,2.2,80
116,Horsea,water,,0.4,8
117,Seadra,water,,1.2,25
118,Goldeen,water,,0.6,15
119,Seaking,water,,1.3,39
120,Staryu,water,,0.8,34.5
121,Starmie,water,psychic,1.1,80
122,MrMime,psychic,,1.3,54.5
123,Scyther,bug,flying,1.5,56
124,Jynx,ice,psychic,1.4,40.6
125,Electabuzz,electric,,1.1,30
126,Magmar,fire,,1.3,44.5
127,Pinsir,bug,,1.5,55
128,Tauros,normal,,1.4,88.4
129,Magikarp,water,,0.9,10
130,Gyarados,water,flying,6.5,235
131,Lapras,water,ice,2.5,220
132,Ditto,normal,,0.3,4
133,Eevee,normal,,0.3,6.5
134,Vaporeon,water,,1,29
135,Jolteon,electric,,0.8,24.5
136,Flareon,fire,,0.9,25
137,Porygon,normal,,0.8,36.5
138,Omanyte,rock,water,0.4,7.5
139,Omastar,rock,water,1,35
140,Kabuto,rock,water,0.5,11.5
141,Kabutops,rock,water,1.3,40.5
142,Aerodactyl,rock,flying,1.8,59
143,Snorlax,normal,,2.1,460
144,Articuno,ice,flying,1.7,55.4
145,Zapdos,electric,flying,1.6,52.6
146,Moltres,fire,flying,2,60
147,Dratini,dragon,,1.8,3.3
148,Dragonair,dragon,,4,16.5
149,Dragonite,dragon,flying,2.2,210
150,Mewtwo,psychic,,2,122
151,Mew,psychic,,0.4,4
